admin_unit,crime_count,year
AJDOVŠČINA,1126,2010
BREŽICE,1831,2010
CELJE,5769,2010
CERKNICA,586,2010
DOMŽALE,5839,2010
DRAVOGRAD,340,2010
GORNJA RADGONA,1169,2010
GROSUPLJE,3665,2010
HRASTNIK,533,2010
IDRIJA,407,2010
ILIRSKA BISTRICA,628,2010
IZOLA,1126,2010
JESENICE,1738,2010
KAMNIK,2240,2010
KOPER,4694,2010
KOČEVJE,1569,2010
KRANJ,6928,2010
KRŠKO,1488,2010
LAŠKO,823,2010
LENART,952,2010
LENDAVA,1461,2010
LITIJA,851,2010
LJUBLJANA,53293,2010
LJUTOMER,738,2010
LOGATEC,1072,2010
MARIBOR,14872,2010
METLIKA,427,2010
MOZIRJE,572,2010
MURSKA SOBOTA,2716,2010
NEZNANA OBČ,143,2010
NEZNANA UE,819,2010
NI PODATKA,1,2010
NOVA GORICA,3767,2010
NOVO MESTO,4673,2010
ORMOŽ,702,2010
PESNICA,769,2010
PIRAN,1950,2010
POSTOJNA,1572,2010
PTUJ,5314,2010
RADLJE OB DRAVI,590,2010
RADOVLJICA,1679,2010
RAVNE NA KOROŠKEM,1300,2010
RIBNICA,514,2010
RUŠE,836,2010
SEVNICA,782,2010
SEŽANA,1995,2010
SLOVENJ GRADEC,1059,2010
SLOVENSKA BISTRICA,2039,2010
SLOVENSKE KONJICE,1902,2010
TOLMIN,642,2010
TRBOVLJE,1226,2010
TREBNJE,836,2010
TRŽIČ,517,2010
VELENJE,3284,2010
VRHNIKA,1577,2010
ZAGORJE OB SAVI,792,2010
ČRNOMELJ,1396,2010
ŠENTJUR PRI CELJU,835,2010
ŠKOFJA LOKA,1344,2010
ŠMARJE PRI JELŠAH,1338,2010
ŽALEC,2343,2010
AJDOVŠČINA,925,2011
BREŽICE,1690,2011
CELJE,5878,2011
CERKNICA,427,2011
DOMŽALE,6700,2011
DRAVOGRAD,401,2011
GORNJA RADGONA,1305,2011
GROSUPLJE,2810,2011
HRASTNIK,509,2011
IDRIJA,461,2011
ILIRSKA BISTRICA,498,2011
IZOLA,1230,2011
JESENICE,1485,2011
KAMNIK,2822,2011
KOPER,4978,2011
KOČEVJE,1299,2011
KRANJ,6620,2011
KRŠKO,2048,2011
LAŠKO,910,2011
LENART,1168,2011
LENDAVA,1782,2011
LITIJA,927,2011
LJUBLJANA,54089,2011
LJUTOMER,716,2011
LOGATEC,847,2011
MARIBOR,14987,2011
METLIKA,436,2011
MOZIRJE,431,2011
MURSKA SOBOTA,3310,2011
NEZNANA OBČ,96,2011
NEZNANA UE,1117,2011
NI PODATKA,8,2011
NOVA GORICA,3205,2011
NOVO MESTO,4430,2011
ORMOŽ,894,2011
PESNICA,966,2011
PIRAN,1873,2011
POSTOJNA,1788,2011
PTUJ,4839,2011
RADLJE OB DRAVI,687,2011
RADOVLJICA,2172,2011
RAVNE NA KOROŠKEM,1142,2011
RIBNICA,497,2011
RUŠE,532,2011
SEVNICA,897,2011
SEŽANA,1582,2011
SLOVENJ GRADEC,1151,2011
SLOVENSKA BISTRICA,1951,2011
SLOVENSKE KONJICE,1579,2011
TOLMIN,726,2011
TRBOVLJE,945,2011
TREBNJE,979,2011
TRŽIČ,440,2011
VELENJE,2926,2011
VRHNIKA,2039,2011
ZAGORJE OB SAVI,892,2011
ČRNOMELJ,1168,2011
ŠENTJUR PRI CELJU,942,2011
ŠKOFJA LOKA,1174,2011
ŠMARJE PRI JELŠAH,1420,2011
ŽALEC,2416,2011
AJDOVŠČINA,1156,2012
BREŽICE,2215,2012
CELJE,6409,2012
CERKNICA,581,2012
DOMŽALE,5457,2012
DRAVOGRAD,335,2012
GORNJA RADGONA,1211,2012
GROSUPLJE,3116,2012
HRASTNIK,389,2012
IDRIJA,453,2012
ILIRSKA BISTRICA,542,2012
IZOLA,1247,2012
JESENICE,1495,2012
KAMNIK,2233,2012
KOPER,4139,2012
KOČEVJE,1460,2012
KRANJ,6082,2012
KRŠKO,1865,2012
LAŠKO,1063,2012
LENART,973,2012
LENDAVA,1388,2012
LITIJA,1395,2012
LJUBLJANA,55848,2012
LJUTOMER,750,2012
LOGATEC,1241,2012
MARIBOR,14728,2012
METLIKA,503,2012
MOZIRJE,446,2012
MURSKA SOBOTA,3012,2012
NEZNANA OBČ,126,2012
NEZNANA UE,817,2012
NI PODATKA,3,2012
NOVA GORICA,2984,2012
NOVO MESTO,5406,2012
ORMOŽ,722,2012
PESNICA,713,2012
PIRAN,2029,2012
POSTOJNA,1701,2012
PTUJ,4584,2012
RADLJE OB DRAVI,822,2012
RADOVLJICA,1715,2012
RAVNE NA KOROŠKEM,1117,2012
RIBNICA,489,2012
RUŠE,618,2012
SEVNICA,714,2012
SEŽANA,1614,2012
SLOVENJ GRADEC,1585,2012
SLOVENSKA BISTRICA,2265,2012
SLOVENSKE KONJICE,1487,2012
TOLMIN,670,2012
TRBOVLJE,939,2012
TREBNJE,891,2012
TRŽIČ,457,2012
VELENJE,2634,2012
VRHNIKA,1793,2012
ZAGORJE OB SAVI,608,2012
ČRNOMELJ,1208,2012
ŠENTJUR PRI CELJU,2288,2012
ŠKOFJA LOKA,1510,2012
ŠMARJE PRI JELŠAH,1260,2012
ŽALEC,2488,2012
AJDOVŠČINA,741,2013
BREŽICE,1959,2013
CELJE,5968,2013
CERKNICA,1146,2013
DOMŽALE,5169,2013
DRAVOGRAD,313,2013
GORNJA RADGONA,996,2013
GROSUPLJE,3253,2013
HRASTNIK,484,2013
IDRIJA,431,2013
ILIRSKA BISTRICA,378,2013
IZOLA,835,2013
JESENICE,1267,2013
KAMNIK,2671,2013
KOPER,3669,2013
KOČEVJE,1341,2013
KRANJ,7850,2013
KRŠKO,2273,2013
LAŠKO,638,2013
LENART,1078,2013
LENDAVA,2208,2013
LITIJA,1074,2013
LJUBLJANA,54329,2013
LJUTOMER,577,2013
LOGATEC,1040,2013
MARIBOR,12711,2013
METLIKA,485,2013
MOZIRJE,583,2013
MURSKA SOBOTA,2865,2013
NEZNANA OBČ,128,2013
NEZNANA UE,793,2013
NI PODATKA,202,2013
NOVA GORICA,2665,2013
NOVO MESTO,5787,2013
ORMOŽ,377,2013
PESNICA,1020,2013
PIRAN,1555,2013
POSTOJNA,1677,2013
PTUJ,3924,2013
RADLJE OB DRAVI,578,2013
RADOVLJICA,2173,2013
RAVNE NA KOROŠKEM,786,2013
RIBNICA,519,2013
RUŠE,711,2013
SEVNICA,1402,2013
SEŽANA,1341,2013
SLOVENJ GRADEC,1100,2013
SLOVENSKA BISTRICA,1864,2013
SLOVENSKE KONJICE,1218,2013
TOLMIN,484,2013
TRBOVLJE,1309,2013
TREBNJE,871,2013
TRŽIČ,607,2013
VELENJE,2550,2013
VRHNIKA,1876,2013
ZAGORJE OB SAVI,550,2013
ČRNOMELJ,1656,2013
ŠENTJUR PRI CELJU,964,2013
