record_id,institution_name,institution_id,subject_name,subject_id,restriction_type,start_date,end_date,prohibited_transactions,start_year,duration_days
11977,OKROŽNO SODIŠČE V SLOVENJ GRADCU,5881536000,"GORES, družba za upravljanje z nepremičninami, d.o.o.",3325083000,poslovnega subjekta,1979-10-01,,0,1979,
11890,OKROŽNO SODIŠČE NA PTUJU,5881528000,ŠAHOVSKO DRUŠTVO JERUZALEM ORMOŽ,5065330000,poslovnega subjekta,1980-01-01,,0,1980,
11884,OKROŽNO SODIŠČE NA PTUJU,5881528000,Kmetijsko gospodarstvo EMIL MILAN ŠTAMPAR,,kmetijskega gospodarstva,1981-01-01,,0,1981,
13081,OKRAJNO SODIŠČE V SEŽANI,5022541005,"GOMBAČ SAŠA S.P. ""GOSTILNA GOMBAČ""",5224370000,poslovnega subjekta,1981-06-01,,0,1981,
14585,OKROŽNO DRŽAVNO TOŽILSTVO V MURSKI SOBOTI,5023122000,"PROCONI, proizvodnja pripravljenih jedi d.o.o.",1858084000,poslovnega subjekta,1981-07-01,,0,1981,
15918,OKROŽNO SODIŠČE V LJUBLJANI,5022762000,Kmetijsko gospodarstvo franc hribar,,kmetijskega gospodarstva,1984-08-01,,0,1984,
15945,OKROŽNO SODIŠČE V LJUBLJANI,5022762000,DASTAFLON-PREDELAVA PTFE NOVAK STANKO S.P.,5413628000,poslovnega subjekta,1986-09-23,,0,1986,
11313,OBČINA DOBJE,1357409000,Kmetijsko gospodarstvo KARL ČADEJ,,kmetijskega gospodarstva,1988-07-26,,0,1988,
10884,DRŽAVNI SVET REPUBLIKE SLOVENIJE,5648122000,LES-MMS trgovska družba d.o.o.,5025648000,poslovnega subjekta,1989-06-30,,0,1989,
14875,OKRAJNO SODIŠČE V NOVI GORICI,5023211004,MARUŠIČ d.o.o. predelava lesa,5292620000,poslovnega subjekta,1989-10-17,,0,1989,
15939,OKROŽNO SODIŠČE V LJUBLJANI,5022762000,"BEGRAD D.D. gradbeništvo, trgovina, inženiring - v stečaju",5062381000,poslovnega subjekta,1990-01-13,,1,1990,
10874,DRŽAVNI SVET REPUBLIKE SLOVENIJE,5648122000,"SEMY proizvodnja, svetovanje, trgovina d.o.o.",5428068000,poslovnega subjekta,1990-10-11,,0,1990,
14032,OBČINA SLOVENSKE KONJICE,5883814000,"OPLAST, proizvodnja plastičnih in kovinskih izdelkov, trgovina in storitve, d.o.o.",5425905000,poslovnega subjekta,1990-11-14,,23,1990,
10879,DRŽAVNI SVET REPUBLIKE SLOVENIJE,5648122000,"RE-MI Proizvodnja, inženiring, storitve, trgovina d.o.o. Idrija",5465729000,poslovnega subjekta,1990-11-20,,0,1990,
11284,OBČINA ŠTORE,5880378000,"RC PLAN M, podjetje za projektiranje in inženiring, d.o.o.",5493684000,poslovnega subjekta,1991-04-09,,6,1991,
11316,OBČINA DOBJE,1357409000,TRŽENJE IN PREVOZI BRANKO UDUČ S.P.,5051962000,poslovnega subjekta,1991-05-07,,0,1991,
14033,OBČINA SLOVENSKE KONJICE,5883814000,"SUPREM podjetje za intelektualne storitve, proizvodnjo in trgovino d.o.o.",5513120000,poslovnega subjekta,1991-05-28,,1,1991,
13945,OBČINA SLOVENSKE KONJICE,5883814000,"WEALL ingenering, d.o.o. Slovenske Konjice",5528003000,poslovnega subjekta,1991-06-12,,0,1991,
11270,OBČINA ŠTORE,5880378000,KULTURNO UMETNIŠKO DRUŠTVO FOLKLORNA SKUPINA KOMPOLE,5731127000,poslovnega subjekta,1992-02-02,,2,1992,
14844,OKRAJNO SODIŠČE V MURSKI SOBOTI,5023149002,Kmetijsko gospodarstvo Andreja ružič,,kmetijskega gospodarstva,1992-03-11,,0,1992,
15946,OKROŽNO SODIŠČE V LJUBLJANI,5022762000,"TRANSING transportni inženiring, d.o.o. - v stečaju",5406838000,poslovnega subjekta,1992-04-21,,0,1992,
15034,OBČINA PESNICA,5884098000,"AGRO STYRIA pekarna, gostinstvo, trgovina d.o.o. - v stečaju",5645719000,poslovnega subjekta,1992-07-17,,0,1992,
12270,OBČINA TRBOVLJE,5882940000,"ORNIKS izvoz-uvoz, zastopanje tujih firm, posredovanje v zunanjetrgovinskem prometu, konsignacija, ..., d.o.o., Trbovlje",5658802000,poslovnega subjekta,1992-07-22,,0,1992,
10623,VIŠJE SODIŠČE V MARIBORU,5105358000,GZ MARIBOR- Geodetske dejavnosti d.o.o.,5066387000,poslovnega subjekta,1992-11-01,,0,1992,
10622,VIŠJE SODIŠČE V MARIBORU,5105358000,"ZALOŽBA OBZORJA družba za založništvo, trgovino in storitve d.d.",5048532000,poslovnega subjekta,1992-11-01,,0,1992,
13321,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,5022789000,"ASSISTANCE CORIS d.o.o., zavarovalno zastopanje, Ljubljana",5775582000,poslovnega subjekta,1993-03-15,,0,1993,
15961,OKROŽNO SODIŠČE V LJUBLJANI,5022762000,"ASSISTANCE CORIS d.o.o., zavarovalno zastopanje, Ljubljana",5775582000,poslovnega subjekta,1993-03-16,,0,1993,
10625,VIŠJE SODIŠČE V MARIBORU,5105358000,"DIS.DIZAJN, marketing, trgovina in storitve, d.o.o.",3765601000,poslovnega subjekta,1993-04-01,,0,1993,
