municipality_name,year,avg_gross_salary,avg_net_salary,permits_per_1000,median_price_m2,mean_price_m2,transaction_count,median_area_m2,hpi_total
Ajdovščina,2023,2100.26,1388.4,6.9,1378.48,1541.43,42.0,86.95,197.97125000000003
Ajdovščina,2024,2252.87,1453.57,4.9,1363.63,1452.17,37.0,86.3,208.204375
Ankaran,2023,2273.32,1480.9,,3322.15,3366.49,25.0,56.8,197.97125000000003
Ankaran,2024,2404.82,1527.62,,3632.96,3570.85,15.0,71.6,208.204375
Apače,2023,1860.77,1254.96,12.1,745.1,931.02,11.0,101.0,197.97125000000003
Apače,2024,1989.01,1306.95,10.1,961.63,1028.05,4.0,94.7,208.204375
Beltinci,2023,1918.56,1284.85,5.7,424.53,558.43,11.0,172.8,197.97125000000003
Beltinci,2024,2105.19,1364.15,6.0,309.68,592.59,3.0,202.0,208.204375
Benedikt,2023,1810.33,1219.24,6.6,1407.76,1374.32,12.0,71.0,197.97125000000003
Benedikt,2024,1911.07,1250.42,10.5,1552.8,1434.46,3.0,60.2,208.204375
Bistrica ob Sotli,2023,2014.95,1334.74,5.2,212.16,212.16,2.0,259.5,197.97125000000003
Bistrica ob Sotli,2024,2090.83,1346.02,6.0,541.69,541.69,2.0,103.3,208.204375
Bled,2023,2131.14,1397.78,1.4,2777.78,2994.22,39.0,58.0,197.97125000000003
Bled,2024,2268.88,1455.92,2.5,2850.88,2761.99,21.0,101.6,208.204375
Bloke,2023,1861.02,1249.6,6.4,777.78,777.78,1.0,90.0,197.97125000000003
Bloke,2024,1986.75,1302.75,8.3,1446.98,1446.98,2.0,103.3,208.204375
Bohinj,2023,1835.02,1232.84,2.3,2333.33,2544.04,9.0,137.0,197.97125000000003
Bohinj,2024,1958.39,1281.91,6.3,2339.18,2597.53,20.0,67.5,208.204375
Borovnica,2023,2029.56,1323.15,1.7,4761.88,4761.88,2.0,86.15,197.97125000000003
Borovnica,2024,2163.24,1376.45,0.8,2713.18,2729.47,3.0,56.8,208.204375
Bovec,2023,1943.26,1293.25,2.3,2133.2,2318.7,22.0,81.0,197.97125000000003
Bovec,2024,2079.62,1353.64,3.6,2025.59,1828.91,13.0,57.0,208.204375
Braslovče,2023,1932.91,1291.96,3.6,1765.42,1620.09,29.0,93.0,197.97125000000003
Braslovče,2024,2091.24,1360.09,5.8,1893.1,1756.98,11.0,76.7,208.204375
Brda,2023,1964.44,1308.15,3.9,812.28,822.05,4.0,137.0,197.97125000000003
Brda,2024,2066.68,1340.99,4.3,974.05,1076.34,8.0,113.9,208.204375
Brezovica,2023,1992.47,1314.97,4.2,1760.0,1972.42,23.0,120.0,197.97125000000003
Brezovica,2024,2182.93,1400.52,2.4,2620.65,2505.15,26.0,111.6,208.204375
Brežice,2023,2065.22,1357.74,2.3,1005.68,986.13,50.0,91.5,197.97125000000003
Brežice,2024,2189.02,1402.13,3.0,1204.82,1168.6,41.0,80.5,208.204375
Cankova,2023,1918.26,1279.18,5.1,79.37,79.37,1.0,252.0,197.97125000000003
Cankova,2024,1992.55,1298.9,5.1,1371.12,1371.12,1.0,164.1,208.204375
Celje,2023,2160.83,1415.54,1.0,1790.25,1720.11,304.0,59.0,197.97125000000003
Celje,2024,2297.61,1475.09,0.6,1914.8,1878.5,238.0,63.7,208.204375
Cerklje na Gorenjskem,2023,2583.1,1648.88,4.0,1419.75,1830.46,12.0,106.5,197.97125000000003
Cerklje na Gorenjskem,2024,2640.72,1657.49,3.6,2668.91,2792.98,18.0,80.65,208.204375
Cerknica,2023,1852.01,1241.57,4.6,1724.76,1548.32,14.0,63.5,197.97125000000003
Cerknica,2024,1967.44,1288.88,3.8,1712.23,1633.7,16.0,66.7,208.204375
Cerkno,2023,1765.65,1192.8,4.0,859.38,829.18,9.0,59.0,197.97125000000003
Cerkno,2024,1854.51,1219.91,3.6,530.04,580.36,3.0,220.3,208.204375
Cerkvenjak,2023,1777.22,1193.56,7.7,601.22,617.97,3.0,149.0,197.97125000000003
Cerkvenjak,2024,1968.17,1287.39,9.8,954.4,1062.3,4.0,91.7,208.204375
Cirkulane,2023,1987.06,1294.76,2.5,600.0,698.54,17.0,60.0,197.97125000000003
Cirkulane,2024,2154.11,1372.91,6.7,623.05,659.15,11.0,64.2,208.204375
Destrnik,2023,1753.36,1177.0,4.1,786.28,917.79,6.0,69.45,197.97125000000003
Destrnik,2024,1931.2,1260.42,7.7,753.88,1004.13,3.0,90.2,208.204375
Divača,2023,2073.54,1371.67,2.5,1418.51,1538.12,18.0,82.8,197.97125000000003
Divača,2024,2172.23,1396.57,1.8,1275.55,1516.7,10.0,161.8,208.204375
Dobje,2023,2058.03,1354.22,5.1,,,,,197.97125000000003
Dobje,2024,2117.99,1361.21,2.1,310.08,310.08,1.0,64.5,208.204375
Dobrepolje,2023,1820.04,1224.07,4.0,1323.81,937.38,3.0,163.0,197.97125000000003
Dobrepolje,2024,1916.57,1251.76,0.8,1650.84,1510.28,4.0,130.75,208.204375
Dobrna,2023,1977.77,1315.27,2.6,1375.0,1271.44,9.0,89.0,197.97125000000003
Dobrna,2024,2126.06,1376.03,2.6,824.5,824.5,1.0,254.7,208.204375
Dobrova - Polhov Gradec,2023,1950.13,1304.28,2.4,,,,,197.97125000000003
Dobrova - Polhov Gradec,2024,2070.48,1346.57,2.0,,,,,208.204375
Dobrovnik/Dobronak,2023,1977.9,1322.15,7.1,,,,,197.97125000000003
Dobrovnik/Dobronak,2024,2011.75,1310.43,3.2,,,,,208.204375
Dol pri Ljubljani,2023,2336.31,1524.26,3.8,2667.27,2819.3,12.0,66.75,197.97125000000003
Dol pri Ljubljani,2024,2617.88,1673.1,3.9,2035.39,1820.35,4.0,124.44999999999999,208.204375
Dolenjske Toplice,2023,2029.57,1355.15,9.7,996.74,1120.67,12.0,79.75,197.97125000000003
Dolenjske Toplice,2024,2125.82,1386.19,18.4,1208.88,1326.74,8.0,74.80000000000001,208.204375
Domžale,2023,2041.69,1354.11,1.9,2500.0,2471.83,135.0,73.0,197.97125000000003
Domžale,2024,2163.52,1400.7,2.2,2643.68,2604.46,103.0,75.6,208.204375
Dornava,2023,2129.2,1407.73,4.1,460.52,536.34,4.0,132.0,197.97125000000003
Dornava,2024,2202.3,1422.93,9.6,742.41,742.41,2.0,52.2,208.204375
Dravograd,2023,1998.73,1319.34,4.0,903.65,916.23,22.0,82.0,197.97125000000003
Dravograd,2024,2082.33,1338.87,3.6,1369.47,1277.2,12.0,70.3,208.204375
Duplek,2023,1809.73,1216.96,2.1,907.28,910.21,16.0,146.0,197.97125000000003
Duplek,2024,1947.99,1276.07,3.1,1036.79,1158.47,15.0,167.7,208.204375
Gorenja vas - Poljane,2023,2105.87,1395.09,2.6,,,,,197.97125000000003
Gorenja vas - Poljane,2024,2233.66,1442.17,1.7,,,,,208.204375
Gorišnica,2023,1803.43,1198.81,1.4,857.84,869.54,4.0,110.15,197.97125000000003
Gorišnica,2024,1888.64,1225.59,7.9,1183.63,1183.63,1.0,427.5,208.204375
Gorje,2023,2007.13,1336.44,1.4,1506.85,2123.84,5.0,73.0,197.97125000000003
Gorje,2024,2113.76,1373.35,2.9,1776.78,2131.84,8.0,128.15,208.204375
Gornja Radgona,2023,2044.1,1349.28,9.9,1053.33,987.51,41.0,74.0,197.97125000000003
Gornja Radgona,2024,2127.41,1372.27,10.1,858.5,1027.41,14.0,101.2,208.204375
Gornji Grad,2023,1753.27,1189.36,2.3,382.85,434.77,11.0,189.7,197.97125000000003
Gornji Grad,2024,1835.78,1215.84,2.7,1020.75,860.53,4.0,155.05,208.204375
Gornji Petrovci,2023,1665.25,1128.53,2.5,454.55,791.23,3.0,73.0,197.97125000000003
